INFO     | 2023-04-22 22:40:49,527 | Yasat.main_cli | [44/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,528 | Yasat.main_cli | [45/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,529 | Yasat.main_cli | [46/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,530 | Yasat.main_cli | [47/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,530 | Yasat.main_cli | [48/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,531 | Yasat.main_cli | [49/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,532 | Yasat.main_cli | [50/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,533 | Yasat.main_cli | [51/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,534 | Yasat.main_cli | [52/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,535 | Yasat.main_cli | [53/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,536 | Yasat.main_cli | [54/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,538 | Yasat.main_cli | [55/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,540 | Yasat.main_cli | [56/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,541 | Yasat.main_cli | [57/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,542 | Yasat.main_cli | [58/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,544 | Yasat.main_cli | [59/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,546 | Yasat.main_cli | [60/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,547 | Yasat.main_cli | [61/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,548 | Yasat.main_cli | [62/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,550 | Yasat.main_cli | [63/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,551 | Yasat.main_cli | [64/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,553 | Yasat.main_cli | [65/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,554 | Yasat.main_cli | [66/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,555 | Yasat.main_cli | [67/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,556 | Yasat.main_cli | [68/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,558 | Yasat.main_cli | [69/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,559 | Yasat.main_cli | [70/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,560 | Yasat.main_cli | [71/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,561 | Yasat.main_cli | [72/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,563 | Yasat.main_cli | [73/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,564 | Yasat.main_cli | [74/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,565 | Yasat.main_cli | [75/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,566 | Yasat.main_cli | [76/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,567 | Yasat.main_cli | [77/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,568 | Yasat.main_cli | [78/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,569 | Yasat.main_cli | [79/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,570 | Yasat.main_cli | [80/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,571 | Yasat.main_cli | [81/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,572 | Yasat.main_cli | [82/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,572 | Yasat.main_cli | [83/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,573 | Yasat.main_cli | [84/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,574 | Yasat.main_cli | [85/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,575 | Yasat.main_cli | [86/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,576 | Yasat.main_cli | [87/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,577 | Yasat.main_cli | [88/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,578 | Yasat.main_cli | [89/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,579 | Yasat.main_cli | [90/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,585 | Yasat.main_cli | [91/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,586 | Yasat.main_cli | [92/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,587 | Yasat.main_cli | [93/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,588 | Yasat.main_cli | [94/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,589 | Yasat.main_cli | [95/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,590 | Yasat.main_cli | [96/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,591 | Yasat.main_cli | [97/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,592 | Yasat.main_cli | [98/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,593 | Yasat.main_cli | [99/160 0 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,594 | Yasat.main_cli | [100/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,596 | Yasat.main_cli | [101/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,598 | Yasat.main_cli | [102/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,599 | Yasat.main_cli | [103/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,601 | Yasat.main_cli | [104/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,602 | Yasat.main_cli | [105/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,603 | Yasat.main_cli | [106/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,604 | Yasat.main_cli | [107/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,604 | Yasat.main_cli | [108/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,606 | Yasat.main_cli | [109/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,607 | Yasat.main_cli | [110/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,608 | Yasat.main_cli | [111/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,609 | Yasat.main_cli | [112/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,610 | Yasat.main_cli | [113/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,611 | Yasat.main_cli | [114/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,613 | Yasat.main_cli | [115/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,615 | Yasat.main_cli | [116/160 1 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,616 | Yasat.main_cli | [117/160 2 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,617 | Yasat.main_cli | [118/160 2 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,618 | Yasat.main_cli | [119/160 2 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,619 | Yasat.main_cli | [120/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,620 | Yasat.main_cli | [121/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,621 | Yasat.main_cli | [122/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,622 | Yasat.main_cli | [123/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,623 | Yasat.main_cli | [124/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,624 | Yasat.main_cli | [125/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,625 | Yasat.main_cli | [126/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,626 | Yasat.main_cli | [127/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,627 | Yasat.main_cli | [128/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,628 | Yasat.main_cli | [129/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,629 | Yasat.main_cli | [130/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,630 | Yasat.main_cli | [131/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,631 | Yasat.main_cli | [132/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,632 | Yasat.main_cli | [133/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,633 | Yasat.main_cli | [134/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,634 | Yasat.main_cli | [135/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,635 | Yasat.main_cli | [136/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,636 | Yasat.main_cli | [137/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,637 | Yasat.main_cli | [138/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,638 | Yasat.main_cli | [139/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,639 | Yasat.main_cli | [140/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,640 | Yasat.main_cli | [141/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,641 | Yasat.main_cli | [142/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,642 | Yasat.main_cli | [143/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,643 | Yasat.main_cli | [144/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,645 | Yasat.main_cli | [145/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,646 | Yasat.main_cli | [146/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,647 | Yasat.main_cli | [147/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,648 | Yasat.main_cli | [148/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,649 | Yasat.main_cli | [149/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,650 | Yasat.main_cli | [150/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,651 | Yasat.main_cli | [151/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,652 | Yasat.main_cli | [152/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,653 | Yasat.main_cli | [153/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,654 | Yasat.main_cli | [154/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,655 | Yasat.main_cli | [155/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,656 | Yasat.main_cli | [156/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,657 | Yasat.main_cli | [157/160 3 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,658 | Yasat.main_cli | [158/160 4 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,659 | Yasat.main_cli | [159/160 5 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,660 | Yasat.main_cli | [160/160 5 discarded] Filtering subjects
INFO     | 2023-04-22 22:40:49,660 | Yasat.main_cli | Got 154 unique ELF files!
INFO     | 2023-04-22 22:40:49,739 | Yasat.misc.concurrency | There are 0 tasks running now (154 pending)
INFO     | 2023-04-22 22:40:49,740 | Yasat.misc.concurrency | |  pid   |                  name                  |  running time |  memory  |
INFO     | 2023-04-22 22:40:49,812 | Yasat.main_cli | [1/ 154 (1 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/pppoecd
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,834 | Yasat.main_cli | [2/ 154 (2 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/emf
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,859 | Yasat.main_cli | [3/ 154 (3 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/swresetd
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,880 | Yasat.main_cli | [4/ 154 (4 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/mld
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,886 | Yasat.main_cli | [5/ 154 (5 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ddnsd
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,892 | Yasat.main_cli | [6/ 154 (6 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wlconf
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,896 | Yasat.main_cli | [7/ 154 (7 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dnsmasq
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,904 | Yasat.main_cli | [8/ 154 (8 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/pptp
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,939 | Yasat.main_cli | [9/ 154 (9 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dlnad
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:49,980 | Yasat.main_cli | [10/ 154 (10 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/autoipd
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:50,030 | Yasat.main_cli | [11/ 154 (11 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/timesync
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:50,064 | Yasat.main_cli | [12/ 154 (12 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ip6tables-save
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

INFO     | 2023-04-22 22:40:50,074 | Yasat.main_cli | [13/ 154 (13 success, 0 failure, 0 timeout)] Discovered 0 misuses in examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wan_debug
##################################################
#                    Summary                     #
##################################################
Time: 0 seconds
Misuses number: 0

