INFO     | 2023-04-19 16:34:59,900 | Yasat.main_cli | [17/581 (7 success, 10 failure)] Extracted 3 ELF files from dataset/Netgear/FSM7326P Firmware Version 6.2.0.14.zip
INFO     | 2023-04-19 16:34:59,901 | Yasat.main_cli | [18/581 (8 success, 10 failure)] Extracted 103 ELF files from dataset/Netgear/DGN1000_V1.1.00.56_NA.zip
INFO     | 2023-04-19 16:34:59,906 | Yasat.main_cli | [19/581 (9 success, 10 failure)] Extracted 69 ELF files from dataset/Netgear/GC728X_GC728XP_GC752X_GC752XP_V1.0.5.36.zip
INFO     | 2023-04-19 16:34:59,907 | Yasat.main_cli | [20/581 (10 success, 10 failure)] Extracted 215 ELF files from dataset/Netgear/R6200-V1.0.1.58_1.0.44.zip
INFO     | 2023-04-19 16:34:59,907 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/MVBR1210C_V1.2.0.35BM.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,908 | Yasat.main_cli | [21/581 (11 success, 10 failure)] Extracted 425 ELF files from dataset/Netgear/R8000-V1.0.4.84_10.1.84.zip
INFO     | 2023-04-19 16:34:59,908 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/FS728TLP_FS526Tv2_V1.0.1.23.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,908 | Yasat.main_cli | [22/581 (12 success, 10 failure)] Extracted 1128 ELF files from dataset/Netgear/R7500v2-V1.0.3.50.zip
INFO     | 2023-04-19 16:34:59,908 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/RAX75-V1.0.5.126_1.0.65.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,909 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR3400v2-V1.0.0.54_1.0.82.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,909 | Yasat.main_cli | [23/581 (13 success, 10 failure)] Extracted 99 ELF files from dataset/Netgear/EX6200-V1.0.3.94_1.1.128.zip
INFO     | 2023-04-19 16:34:59,909 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WC7520_V2.5.0.47.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,909 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EX7300v2_EX6400v2_EX6250v1_V1.0.0.134.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,909 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/LBR20_V2.6.5.2.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,910 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNR3500L_V1.2.2.48_35.0.55NA.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,912 | Yasat.main_cli | [25/581 (14 success, 11 failure)] Extracted 68 ELF files from dataset/Netgear/GS316EP_GS316EPP_V1.0.2.4.zip
INFO     | 2023-04-19 16:34:59,914 | Yasat.main_cli | [28/581 (15 success, 13 failure)] Extracted 118 ELF files from dataset/Netgear/MBRN3000-V1.0.0.74_2.0.12WW.zip
INFO     | 2023-04-19 16:34:59,915 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/MBR1516-V1.2.2.84-BM.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,915 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WN3000RPv3-V1.0.2.102.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,915 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS808E_V1.7.1.0.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,915 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS510TP_V5.4.2.30.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,915 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GSM7328S-FS-7352S_V8.0.3.49.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,919 | Yasat.main_cli | [29/581 (16 success, 13 failure)] Extracted 497 ELF files from dataset/Netgear/R6400v2-V1.0.4.120_10.0.91.zip
INFO     | 2023-04-19 16:34:59,921 | Yasat.main_cli | [31/581 (17 success, 14 failure)] Extracted 130 ELF files from dataset/Netgear/MVBR1210C_V1.2.0.35BM.zip
INFO     | 2023-04-19 16:34:59,921 | Yasat.main_cli | [32/581 (18 success, 14 failure)] Extracted 105 ELF files from dataset/Netgear/WNR3500L_V1.2.2.48_35.0.55NA.zip
INFO     | 2023-04-19 16:34:59,922 | Yasat.main_cli | [33/581 (19 success, 14 failure)] Extracted 109 ELF files from dataset/Netgear/WNDR3400v2-V1.0.0.54_1.0.82.zip
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/MS60-V1.0.6.116_2.0.54.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/DM200_V1.0.0.66.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EX7300-EX6400-V1.0.2.158.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR3800-V1.0.0.52.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR4500-V1.0.1.46_1.0.76.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,924 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WGT624v4 - Firmware Version 2.0.13_2.0.15.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,926 | Yasat.main_cli | [34/581 (20 success, 14 failure)] Extracted 723 ELF files from dataset/Netgear/LBR20_V2.6.5.2.zip
INFO     | 2023-04-19 16:34:59,926 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/FWAG114 Beta Version 1.0.29.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,927 | Yasat.main_cli | [35/581 (21 success, 14 failure)] Extracted 363 ELF files from dataset/Netgear/EX7300v2_EX6400v2_EX6250v1_V1.0.0.134.zip
INFO     | 2023-04-19 16:34:59,929 | Yasat.main_cli | [40/581 (22 success, 18 failure)] Extracted 117 ELF files from dataset/Netgear/MBR1516-V1.2.2.84-BM.zip
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WAX628-V10.3.1.8.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/DST6501-V1.0.1.6.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EX6100-V1.0.2.28_1.1.138.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/R7300-V1.0.0.74_1.0.29.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/D7800_FW_V1.0.1.60.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,930 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WN203_V2.0.11.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,933 | Yasat.main_cli | [41/581 (23 success, 18 failure)] Extracted 512 ELF files from dataset/Netgear/WC7520_V2.5.0.47.zip
INFO     | 2023-04-19 16:34:59,933 | Yasat.main_cli | [42/581 (24 success, 18 failure)] Extracted 70 ELF files from dataset/Netgear/WN3000RPv3-V1.0.2.102.zip
INFO     | 2023-04-19 16:34:59,935 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/RAX80-V1.0.5.126_1.0.65.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,935 | Yasat.main_cli | [45/581 (25 success, 20 failure)] Extracted 311 ELF files from dataset/Netgear/WNDR3800-V1.0.0.52.zip
INFO     | 2023-04-19 16:34:59,936 | Yasat.main_cli | [46/581 (26 success, 20 failure)] Extracted 62 ELF files from dataset/Netgear/WGT624v4 - Firmware Version 2.0.13_2.0.15.zip
INFO     | 2023-04-19 16:34:59,937 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNR854T_V1.5.2NA.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,937 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/XAV5201_FW_V0.3.0.6NA.zip.cache is available!!!
