WARNING  | 2023-04-21 18:05:20,612 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_EA2750_1.1.8.184154_prod.gpg.img
WARNING  | 2023-04-21 18:05:20,742 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_LAPAC1200_LAPAC1750_1.1.03.000.gpg.img
WARNING  | 2023-04-21 18:05:20,772 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_EA9200_1.1.9.183676_prod.gpg.img
WARNING  | 2023-04-21 18:05:20,786 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_LAPAC2600_1.0.04.001.gpg.img
WARNING  | 2023-04-21 18:05:20,904 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_EA7500_1.1.5.190349_prod.gpg.img
WARNING  | 2023-04-21 18:05:20,992 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/linksys_smart-1119.ros
WARNING  | 2023-04-21 18:05:21,113 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1915-24E_1.zip
WARNING  | 2023-04-21 18:05:21,159 | Yasat.main_cli | Failed to extract ELF files from dataset/Linksys/FW_EA4500V3_3.1.7.181919_prod.gpg.img
WARNING  | 2023-04-21 18:05:21,185 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG60_12.zip
WARNING  | 2023-04-21 18:05:21,197 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES-2024A_390TX2C0.zip
WARNING  | 2023-04-21 18:05:21,212 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWD7605_Linux_Driver_1.0.0.22.0225.zip
WARNING  | 2023-04-21 18:05:21,228 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XS1930-10_4.70(ABQE.4)C0.zip
WARNING  | 2023-04-21 18:05:21,248 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE3302-M432_V1.00(ABKQ.1)C0.zip
WARNING  | 2023-04-21 18:05:21,264 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1008HP_003.351-01-00973.zip
